,date,coronavirus,short breath,covid-19,state,positive,positiveIncrease,negative,negativeIncrease
994,2020-04-05,54,82,64,LA,13010.0,514,47315.0,1313
995,2020-04-12,42,37,48,LA,20595.0,581,83450.0,6549
996,2020-04-19,31,0,42,LA,23928.0,348,111420.0,-2999
997,2020-04-26,15,37,34,LA,26773.0,261,116263.0,3773
998,2020-05-03,14,37,36,LA,29340.0,200,146820.0,3102
999,2020-05-10,12,23,35,LA,31600.0,183,184272.0,3532
1000,2020-05-17,9,23,30,LA,34432.0,315,230738.0,5113
1001,2020-05-24,8,24,22,LA,37169.0,129,278867.0,1460
1002,2020-05-31,5,35,20,LA,39916.0,339,335193.0,5951
1003,2020-06-07,5,23,27,LA,42816.0,330,391249.0,5666
1004,2020-06-14,7,24,36,LA,46619.0,336,462713.0,4613
1005,2020-06-21,9,24,40,LA,49778.0,393,561034.0,5603
1006,2020-06-28,10,41,41,LA,56236.0,1467,639875.0,16638
1007,2020-07-05,10,50,37,LA,65226.0,1937,737228.0,16375
1008,2020-07-12,9,25,45,LA,78122.0,1319,856873.0,9229
1009,2020-07-19,7,37,36,LA,91706.0,3116,977598.0,22248
1010,2020-07-26,6,100,35,LA,107574.0,3840,1125690.0,29698
1011,2020-08-02,5,50,100,LA,119747.0,3467,1259693.0,33730
1012,2020-08-09,4,36,23,LA,131399.0,2653,1409172.0,32916
1013,2020-08-16,3,24,23,LA,137918.0,1181,1520169.0,19894
1014,2020-08-23,2,74,16,LA,142943.0,1223,1620895.0,23808
1015,2020-08-30,3,24,18,LA,148568.0,1624,1720883.0,38648
1016,2020-09-06,3,37,19,LA,153764.0,1395,1805480.0,25205
1017,2020-09-13,2,31,11,LA,158390.0,1281,1908340.0,27696
1018,2020-09-20,2,23,16,LA,162258.0,936,2016741.0,31077
1019,2020-09-27,2,50,17,LA,166075.0,923,2117074.0,26161
1020,2020-10-04,2,26,16,LA,169719.0,893,2213951.0,25328
1021,2020-10-11,2,28,13,LA,174587.0,1181,2314281.0,37600
1022,2020-10-18,2,28,13,LA,178869.0,1143,2413729.0,25803
1023,2020-10-25,2,0,12,LA,183575.0,972,2513932.0,25297
1024,2020-11-01,2,0,11,LA,187720.0,1071,2595398.0,18376
1025,2020-11-08,2,36,13,LA,192981.0,1266,2699976.0,25215
1026,2020-03-08,74,27,44,PA,6.0,2,,0
1027,2020-03-15,100,52,96,PA,63.0,16,205.0,0
1028,2020-03-22,75,100,97,PA,479.0,108,4964.0,1198
1029,2020-03-29,61,38,94,PA,3394.0,643,30061.0,4807
1030,2020-04-05,58,34,77,PA,11510.0,1493,66261.0,6248
1031,2020-04-12,47,23,62,PA,22833.0,1178,102057.0,3559
1032,2020-04-19,37,37,54,PA,32284.0,1215,126570.0,3674
1033,2020-04-26,21,28,42,PA,41165.0,1116,157428.0,4542
1034,2020-05-03,20,32,44,PA,49267.0,962,191374.0,4303
1035,2020-05-10,17,19,38,PA,56611.0,1295,227772.0,5981
1036,2020-05-17,14,29,34,PA,62234.0,623,270670.0,4445
1037,2020-05-24,12,60,30,PA,67713.0,730,328382.0,6913
1038,2020-05-31,9,19,26,PA,72546.0,515,383111.0,7370
1039,2020-06-07,9,25,35,PA,76212.0,506,444173.0,9051
1040,2020-06-14,9,20,38,PA,78798.0,336,504435.0,7846
1041,2020-06-21,11,16,40,PA,81730.0,464,576015.0,9554
1042,2020-06-28,14,32,47,PA,85496.0,1126,657486.0,22775
1043,2020-07-05,13,21,39,PA,89854.0,479,734846.0,9398
1044,2020-07-12,12,27,45,PA,95266.0,577,829018.0,11384
1045,2020-07-19,9,43,41,PA,101027.0,786,926352.0,13866
1046,2020-07-26,8,33,38,PA,107425.0,800,1028776.0,12071
1047,2020-08-02,7,27,100,PA,113590.0,654,1130979.0,11593
1048,2020-08-09,6,22,29,PA,118852.0,760,1228358.0,13393
